shop_product_rank,source_url,category_id,shop_id,shop_username,shop_name,requested_item_id,resolved_item_id,product_name,category,price_vnd,original_price_vnd,discount_percent,rating,sold,image_url,product_url,data_source,note,scraped_at
1,https://shopee.vn/lotustowel,,233958535,lotustowel,Khăn Bông Lotus,,7167929427,"Khăn Tắm, Gội, Lau Mặt Châu Âu LOTUS 100% Cotton Mềm Mịn Thấm Hút Dùng Cho Gia Đình Spa Khách Sạn",,16900,35000,52,4.8,700k+,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mnka5fmx47i9d9,https://shopee.vn/-i.233958535.7167929427,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
2,https://shopee.vn/lotustowel,,233958535,lotustowel,Khăn Bông Lotus,,5964817450,"Khăn Tắm Châu Âu 70x140cm, 60x120cm, 50x100cm LOTUSTOWEL 100% Cotton Mềm Mịn Thấm Hút Không Ra Màu",,59000,,16,4.8,100k+,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mg57g0kib1u3d4,https://shopee.vn/-i.233958535.5964817450,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
3,https://shopee.vn/lotustowel,,233958535,lotustowel,Khăn Bông Lotus,,22034762568,"Bộ khăn tắm, khăn mặt, khăn gội LOTUS 100% Cotton, Mềm Mịn Thấm Hút, Không Ra Màu, Dùng Cho Gia Đình",,16900,38000,56,4.7,40k+,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mg57g0kib1u3d4,https://shopee.vn/-i.233958535.22034762568,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
4,https://shopee.vn/lotustowel,,233958535,lotustowel,Khăn Bông Lotus,,23376275882,"Lẻ khăn Tắm, Gội, Lau Mặt LOTUS 100% Cotton Mềm Mịn Thấm Hút Không Ra Màu Dùng Cho Gia Đình Spa",,16900,35000,52,4.9,10k+,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mnka5fmx47i9d9,https://shopee.vn/-i.233958535.23376275882,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
5,https://shopee.vn/lotustowel,,233958535,lotustowel,Khăn Bông Lotus,,,"Khăn lau xe, Spa 30x30cm LOTUS 100% Microfiber Cao Cấp Mềm Mịn Thấm Hút Không Ra Màu",,9900,,38,4.8,20k+,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mg57g0kib1u3d4,https://shopee.vn/lotustowel,shopee_public_index_image_fallback,Shopee không public itemId/ảnh riêng qua API; dùng ảnh Shopee CDN hợp lệ từ sản phẩm công khai của shop.,2026-07-19T08:51:09.490Z
1,https://shopee.vn/phukienkoreacase,,89827191,phukienkoreacase,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,,2608753400,Kính Cường Lực iPhone KK 4D Cao Cấp Full Màn iPhone 6/6s/7/8/Plus/X/XS/XR/11/12/13/14/15/16/17/Pro/Max/Mini/Air,,27900,30000,37,4.8,2000k+,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m9zmtw4ti8ucfa,https://shopee.vn/-i.89827191.2608753400,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
2,https://shopee.vn/phukienkoreacase,,89827191,phukienkoreacase,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,,26059059275,"Ốp Lưng iPhone Silicon Mềm Nabi Xinh Ánh Bạc, Chống Sốc, Bảo Vệ Camera- iP X/XS/XR/11/12/13/14/15/16/17/Plus/Air/Pro/Max",,1000,,98,4.9,60k+,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m9zmtw4ti8ucfa,https://shopee.vn/-i.89827191.26059059275,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
3,https://shopee.vn/phukienkoreacase,,89827191,phukienkoreacase,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,,24605031250,Kính Cường Lực iPhone Chống Nhìn Trộm 360 Bảo Vệ Full Màn Cao Cấp - iP 6/6s/7/8/Plus/X/XS/XR/11/12/13/14/15/16/17Pro/Max,,1000,,97,4.8,40k+,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m7rdv3mz6z3n13,https://shopee.vn/-i.89827191.24605031250,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
4,https://shopee.vn/phukienkoreacase,,89827191,phukienkoreacase,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,,44002416589,Cường lực KK VMOX có khung tự dán tự hút bụi cho iphone 11 pro max 12 pro max 13 promax x xr xs max 7 8 plus 14 15 16 17,,28900,,17,4.7,20k+,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-mac6wxq5h208f7,https://shopee.vn/-i.89827191.44002416589,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
5,https://shopee.vn/phukienkoreacase,,89827191,phukienkoreacase,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,,28309604497,"Ốp Lưng iPhone TPU Đệm Nhung Chống bẩn, Bảo Vệ Camera - iP 6/7/8/X/XS/XR/11/12/13/14/15/16/17/Mini/Plus/Pro/Max/Air",,41500,49800,17,4.9,,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m9zvcez1crh646,https://shopee.vn/-i.89827191.28309604497,shopee_product_page_or_shop_seo,,2026-07-19T08:51:09.490Z
